area,households,male,female,transgender,all genders,population 1998,sex ratio,average annual growth rate
PAKISTAN *,12192314,39149151,36428187,7651,75584989,45497046,107.47,2.7
KHYBER PAKHTUNKHWA,741014,2972367,2756577,690,5729634,3287210,107.83,2.96
FATA,16124,74452,67446,0,141898,85473,110.39,2.7
PUNJAB,6389733,20760984,19621729,4585,40387298,24130896,105.81,2.74
SINDH,4399782,13007937,11900295,2226,24910458,15695457,109.31,2.46
BALOCHISTAN,474725,1793554,1607253,69,3400876,1768830,111.59,3.49
ISLAMABAD,170936,539857,474887,81,1014825,529180,113.68,3.48
BANNU DIVISION,17300,73533,65847,5,139385,94554,111.67,2.06
BANNU DISTRICT,6258,27670,22294,1,49965,47676,124.11,0.25
LAKKI MARWAT DISTRICT,11042,45863,43553,4,89420,46878,105.3,3.45
DERA ISMAIL KHAN DIVISION,56835,213719,195641,36,409396,254290,109.24,2.53
DERA ISMAIL KHAN DISTRICT,51081,188859,173336,36,362231,218549,108.96,2.69
TANK DISTRICT,5754,24860,22305,0,47165,35741,111.45,1.47
HAZARA DIVISION,87269,292844,271530,195,564569,302015,107.85,3.34
ABBOTTABAD DISTRICT,45165,154969,138128,40,293137,157904,112.19,3.3
HARIPUR DISTRICT,20323,64428,62114,35,126577,82735,103.73,2.26
MANSEHRA DISTRICT,21781,73447,71288,120,144855,61376,103.03,4.61
KOHAT DIVISION,51238,218191,205505,40,423735,244023,106.17,2.94
HANGU DISTRICT,10115,50450,51985,6,102440,64217,97.05,2.48
KARAK DISTRICT,5360,25681,25468,0,51149,27893,100.84,3.24
KOHAT DISTRICT,35763,142060,128052,34,270146,151913,110.94,3.07
MARDAN DIVISION,96337,362043,353110,97,715250,474342,102.53,2.18
MARDAN DISTRICT,59382,225326,213933,66,439325,295128,105.33,2.11
SWABI DISTRICT,36955,136717,139177,31,275925,179214,98.23,2.29
PESHAWAR DIVISION,320419,1348492,1230107,268,2578867,1402697,109.62,3.25
CHARSADDA DISTRICT,37621,138861,131302,12,270175,192851,105.76,1.79
NOWSHERA DISTRICT,46742,183486,155129,35,338650,227030,118.28,2.12
PESHAWAR DISTRICT,236056,1026145,943676,221,1970042,982816,108.74,3.72
MALAKAND DIVISION,111616,463545,434837,50,898432,515289,106.6,2.96
CHITRAL DISTRICT,7063,26357,23437,,49794,30622,112.46,2.59
SWAT DISTRICT,85447,358447,337404,49,695900,374252,106.24,3.31
UPPER DIR DISTRICT,5969,22685,21480,,44165,22901,105.61,3.51
MALAKAND PROTECTED AREA,8522,35164,33036,,68200,43179,106.44,2.43
KHYBER AGENCY,11759,50870,46670,,97540,54363,109,3.12
KURRAM AGENCY,4009,20340,19657,,39997,25145,103.47,2.47
RAWALPINDI DIVISION,656335,2053448,1949499,717,4003664,2637704,105.33,2.22
ATTOCK DISTRICT,78214,250088,239872,46,490006,284179,104.26,2.9
CHAKWAL DISTRICT,48524,142004,141908,28,283940,173790,100.07,2.61
JHELUM DISTRICT,59009,181995,172180,27,354202,271064,105.7,1.41
RAWALPINDI DISTRICT,470588,1479361,1395539,616,2875516,1908671,106.01,2.18
SARGODHA DIVISION,331169,1029673,1002437,274,2032384,1379913,102.72,2.05
BHAKKAR DISTRICT,41938,133405,126683,26,260114,176242,105.31,2.06
KHUSHAB DISTRICT,58638,177019,175775,36,352830,228969,100.71,2.3
SARGODHA DISTRICT,179357,552846,538010,189,1091045,754692,102.76,1.95
MIANWALI DISTRICT,51236,166403,161969,23,328395,220010,102.74,2.13
GUJRANWALA DIVISION,906751,2981940,2923670,583,5906193,3852293,101.99,2.27
GUJRANWALA DISTRICT,446142,1498481,1450247,208,2948936,1877834,103.33,2.4
GUJRAT DISTRICT,133731,416801,410515,80,827396,591666,101.53,1.78
HAFIZABAD DISTRICT,61122,203359,199448,44,402851,227115,101.96,3.05
MANDI BAHAUDDIN DISTRICT,52784,159903,166421,76,326400,216569,96.08,2.18
NAROWAL DISTRICT,39482,127028,130165,55,257248,154386,97.59,2.72
SIALKOT DISTRICT,173490,576368,566874,120,1143362,784723,101.67,2
LAHORE DIVISION,2121484,7027797,6435725,1441,13464963,6654569,109.2,3.77
LAHORE DISTRICT,1757691,5824131,5300931,1223,11126285,5209088,109.87,4.07
KASUR DISTRICT,140629,460489,430259,87,890835,572588,107.03,2.35
NANKANA SAHIB DISTRICT,39931,124981,121035,37,246053,158151,103.26,2.35
SHEIKHUPURA DISTRICT,183233,618196,583500,94,1201790,714742,105.95,2.77
FAISALABAD DIVISION,827718,2673197,2549249,540,5222986,3323925,104.86,2.4
FAISALABAD DISTRICT,593832,1931770,1828231,327,3760328,2318433,105.66,2.57
CHINIOT DISTRICT,67982,216525,205964,49,422538,270417,105.13,2.37
JHANG DISTRICT,95256,304628,293488,74,598190,421383,103.8,1.86
TOBA TEK SINGH DISTRICT,70648,220274,221566,90,441930,313692,99.42,1.82
SAHIWAL DIVISION,263621,840889,795883,234,1637006,1093859,105.65,2.14
SAHIWAL DISTRICT,82644,263091,253990,39,517120,361910,103.58,1.89
OKARA DISTRICT,132588,431803,399867,120,831790,540205,107.99,2.29
PAKPATTAN DISTRICT,48389,145995,142026,75,288096,191744,102.79,2.16
BAHAWALPUR DIVISION,458132,1446640,1378011,339,2824990,1772163,104.98,2.48
BAHAWALNAGAR DISTRICT,101827,314261,306752,83,621096,407449,102.45,2.24
BAHAWALPUR DISTRICT,192186,605292,565849,117,1171258,747764,106.97,2.38
RAHIM YAR KHAN DISTRICT,164119,527087,505410,139,1032636,616950,104.29,2.74
DERA GHAZI KHAN DIVISION,279466,970278,930887,168,1901333,1094089,104.23,2.95
DERA GHAZI KHAN DISTRICT,72837,278603,269217,35,547855,286599,103.49,3.46
RAJANPUR DISTRICT,46607,172668,164498,36,337202,186397,104.97,3.16
LAYYAH DISTRICT,49619,162934,158517,54,321505,195014,102.79,2.66
MUZAFFARGARH DISTRICT,110403,356073,338655,43,694771,426079,105.14,2.6
MULTAN DIVISION,545057,1737122,1656368,289,3393779,2322381,104.88,2.01
MULTAN DISTRICT,330874,1061406,996779,105,2058290,1428475,106.48,1.94
KHANEWAL DISTRICT,91041,286384,277625,67,564076,388386,103.15,1.98
LODHRAN DISTRICT,42218,134605,131062,43,265710,170088,102.7,2.37
VEHARI DISTRICT,80924,254727,250902,74,505703,335432,101.52,2.18
LARKANA DIVISION,337089,1000065,953000,125,1953190,1209609,104.94,2.55
JACOBABAD DISTRICT,52526,151796,145292,39,297127,190307,104.48,2.37
KASHMOR DISTRICT,44271,131368,122231,14,253613,167921,107.48,2.19
KAMBAR SHAHDAD KOT DISTRICT,68103,202695,194851,18,397564,233923,104.03,2.83
LARKANA DISTRICT,120536,358640,342952,45,701637,405479,104.57,2.92
SHIKARPUR DISTRICT,51653,155566,147674,9,303249,211979,105.34,1.9
SUKKUR DIVISION,332878,986439,912900,164,1899503,1191491,108.06,2.48
